,,04/05/2026 17:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
01311,,64.36,61.06,80.08,0.25,0.0,0,0,0,0,0,0,9,0,0,0,1.02,0,0,0,0,0,0,0,0,0,9,0,0.00
01317,,72.53,71.55,80.55,0,0.0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.02,0.00
01319,,70.22,70.22,79.22,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01334,,0,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01336,,71.22,66.47,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,3,9,0,4.50
01351,,72.49,69.08,82.45,0,0.0,1.48,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.37,9,0,0.00
01354,,65.02,63.27,80.52,0,0.0,0,0,0,0,0,0,8,0,0,0,0.3,0,0,0,0,0,0,0,0,0,9,0,0.00
01355,,72.26,71.04,80.04,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01379,,82.33,79.05,87.05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.00
01392,,66.21,62.51,80.51,0.06,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9.00
01448,,72.24,71.24,81.49,0.12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,9,0,0.00
01458,,72.34,69.04,78.04,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01461,,74.58,71.59,80.59,0.01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0.00
01465,,75.3,71.3,80.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01473,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01476,,74.56,70.56,79.56,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01479,,72.49,71.19,80.19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01493,,66,62.3,81.45,0,0.0,1.05,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3.45,9,0,4.50
01502,,47.3,45,81,0,0.0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01549,,56.3,56,79.56,0.3,0.0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01551,,70.48,70.48,79.48,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01552,,37.3,35.59,71.59,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,9,0,0.00
01553,,0,0,81,0,0.0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
01556,,66.38,62.38,71.38,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01561,,73.43,70.11,79.11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01575,,0,0,81,0,0.0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
01579,,75.25,71.25,80.25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01595,,65.57,62.49,80.49,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9.00
01600,,75.5,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01619,,58.54,58.24,80.25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13.50
01620,,73.05,71.05,80.05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01625,,75.51,71.51,80.51,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01634,,74.14,71.14,82.34,0,0.0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,9,0,0.00
01655,,54.57,51.57,62.57,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0.00
01660,,24.39,23.44,77.05,3.55,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,9,0,9.00
01671,,70.46,69.46,81.11,0.35,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.25,9,0,0.00
01672,,72.15,71.42,80.42,0,0.0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.06,0.00
01681,,73.05,69.05,80.05,0.35,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0.00
01690,,73.07,71.07,80.28,0,0.0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,9,0,0.00
01695,,0,0,9,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01706,,74.03,71.33,85.28,0.22,0.0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,9,0.38,0.00
01708,,0,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01710,,51.26,51.07,71.48,9.06,0.0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01712,,73.15,71.45,81.45,0,0.0,0.54,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0.26,0.00
01715,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01737,,72.16,71.57,80.57,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01742,,0,0,81,0,0.0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
01743,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01745,,71.06,71.06,83.15,0.31,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,9,0,0.00
01753,,66.3,63,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9.00
01765,,47.3,45,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,9,0,0.00
01770,,55.59,53.58,80.58,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18.00
01780,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01793,,0,0,45,36,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36.00
01796,,69.45,65.45,81,0,0.0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01810,,67.28,65.53,76.53,0,0.0,0,0.28,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0.28,0.00
01814,,75,71.59,80.59,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01816,,71.31,71.31,81.56,0.16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,9,0,0.00
01823,,61,60.3,80.3,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,9.00
01832,,75.25,71.25,80.25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01833,,86.17,70.53,85.25,0.05,0.0,0,0.02,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,4.3,9,0.02,0.00
01836,,62.08,59.08,72.38,3.51,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4.50
01853,,0,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01859,,75.28,71.28,80.28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01868,,35.29,35.29,80.29,0.31,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,9,0,9.00
01871,,0,0,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,72.00
01882,,41.29,54,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18.00
01895,,76.3,70.09,79.09,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01900,,29.15,28.45,39.4,32.04,0.0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,9,0,0.00
01937,,0,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01952,,42.05,35.07,80.07,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,9,0,36.00
01978,,0,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01981,,66.3,63,72,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
01987,,71.17,67.47,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4.50
01989,,66.11,66.06,80.37,0.38,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,1.01,9,0,0.00
02042,,80.43,72,80,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.00
02096,,28.51,27.21,80.57,0.03,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9.00
02100,,65.55,62.25,63,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
02125,,67.3,65.2,80.44,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,4.50
02141,,0,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
02154,,63.59,62.46,78.18,4.19,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4.32,9,0,0.00
02155,,0,36,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36.00
02174,,71.23,71.22,80.22,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
02213,,66.3,63,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9.00
02225,,34.4,32.4,41.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
02244,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
02250,,75.58,71.58,80.58,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
02264,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
02268,,0,36,81,0,0.0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
02297,,38,36,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36.00
02302,,38,36,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,9,0,0.00
02315,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
02325,,71,70.58,79.58,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
02328,,0,0,45,36,0.0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
02341,,74.09,71.3,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,9,0,0.00
02343,,73.1,68.33,79.21,0,0.0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,5,9,0,0.00
02351,,72.19,71.19,80.19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
02353,,35.39,33.39,78.39,2.21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36.00
02356,,0,63,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9.00
02368,,76,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
02375,,63.29,62.57,71.57,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
02377,,75.04,72,81,0,0.0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.28,0.00
02380,,0,72,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.00
02385,,0,36,81,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36.00
02390,,45.23,44.53,80.53,0.04,0.0,0,0.17,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,9,0.17,0.00
