,MAT.,  Mr/   Mde,OP/RECO,SPC/ IND,SITE,code headcount,AREA,SERVICE,DIRECTION,DATE DE SORTIE,Reasons,
,02914,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,5/28/2025,expiry of temporary contract,
,02878,Female,OPALIA,INDUSTRIAL,KALAA,MOI,PRODUCTION,Production,Direction Industrielle,5/20/2025,volontary resignation,
,02997,Female,OPALIA,INDUSTRIAL,KALAA,MOI,PRODUCTION,Production,Direction Industrielle,6/16/2025,Dismissal after an inconclusive test period,
,20046,Female,RECORDATI,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,6/20/2025,volontary resignation,
,02960,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,6/20/2025,volontary resignation,
,02290,Female,OPALIA,INDUSTRIAL,KALAA,CQ,PRODUCTION,Contrôle Qualité,Direction Management Qualité,6/20/2025,volontary resignation,
,02899,Female,OPALIA,INDUSTRIAL,KALAA,MQU,PRODUCTION,Assurance Qualité,Direction Management Qualité,6/27/2025,volontary resignation,
,02966,Male,OPALIA,SPC,KALAA,CG,GENERAL ADMINISTRATION MANAGEMENT (G&A),Contrôle de Gestion,Direction Contrôle de Gestion,7/8/2025,Dismissal after an inconclusive test period,
,03021,Male,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,7/16/2025,volontary resignation,
,02451,Female,OPALIA,INDUSTRIAL,KALAA,CQ,PRODUCTION,Contrôle Qualité,Direction Management Qualité,7/18/2025,volontary resignation,
,03003,Male,OPALIA,INDUSTRIAL,KALAA,MAINT,PRODUCTION,Maintenance,Direction Industrielle,6/30/2025,Dismissal after an inconclusive test period,
,03038,Male,OPALIA,INDUSTRIAL,KALAA,MAINT,PRODUCTION,Maintenance,Direction Industrielle,7/30/2025,volontary resignation,
,02839,Female,OPALIA,SPC,KALAA,DEVAMM,RESEARCH AND DEVELOPMENT (R&D),Developpement,Direction de Développement,7/31/2025,volontary resignation,
,01853,Male,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,7/31/2025,volontary resignation,
,02731,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,7/31/2025,volontary resignation,
,03032,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,8/1/2025,expiry of temporary contract,
,03026,Male,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,8/1/2025,expiry of temporary contract,
,02985,Female,OPALIA,INDUSTRIAL,KALAA,FABRIQUANT,PRODUCTION,Production,Direction Industrielle,8/1/2025,expiry of temporary contract,
,02914,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,8/1/2025,expiry of temporary contract,
,03036,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,8/1/2025,expiry of temporary contract,
,01695,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,8/5/2025,Dismissal after an inconclusive test period,
,03033,Female,OPALIA,INDUSTRIAL,KALAA,EHS,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,8/29/2025,expiry of temporary contract,
,02952,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,8/28/2025,Dismissal after an inconclusive test period,
,02930,Male,OPALIA,INDUSTRIAL,KALAA,MOI,PRODUCTION,Production,Direction Industrielle,9/11/2025,agreement on contract resolution,
,02932,Female,OPALIA,SPC,KALAA,GRH,GENERAL ADMINISTRATION MANAGEMENT (G&A),Ressources Humaines,Direction des Ressources Humaines,9/16/2025,volontary resignation,
,01978,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,9/15/2025,volontary resignation,
,01002,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,9/16/2025,agreement on contract resolution,
,20047,Female,recordati,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,9/26/2025,volontary resignation,
,02934,Female,OPALIA,SPC,LAC,GRH,GENERAL ADMINISTRATION MANAGEMENT (G&A),Ressources Humaines,Direction des Ressources Humaines,10/17/2025,volontary resignation,
,02988,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,10/17/2025,volontary resignation,
,03007,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,10/28/2025,volontary resignation,
,02943,Male,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,11/2/2025,volontary resignation,
,02941,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,11/17/2025,volontary resignation,
,03036,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,11/20/2025,volontary resignation,
,02887,Female,OPALIA,SPC,LAC,MKTING-COM,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,11/20/2025,agreement on contract resolution,
,01626,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,12/1/2025,expiry of temporary contract,
,20054,Female,RECORDATI,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,12/8/2025,volontary resignation,
,20013,Female,recordati,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,12/15/2025,volontary resignation,
,02619,Female,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,12/15/2025,Dismissal for serious misconduct,
,02771,Male,OPALIA,SPC,LAC,FOE,SALES FORCE,Sales Force,Direction National Sales and Marketing,12/16/2025,volontary resignation,
,01385,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,12/20/2025,expiry of temporary contract,
,02345,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,12/20/2025,expiry of temporary contract,
,03049,Female,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,12/20/2025,expiry of temporary contract,
,03044,Male,OPALIA,INDUSTRIAL,KALAA,COND-IIAIR,PRODUCTION,Production,Direction Industrielle,12/20/2025,expiry of temporary contract,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
