id,date_fk,employee_fk,dept_fk,pos_fk,source,cost
165,20100727,165,1,29,,
166,20100804,166,4,5,,
167,20100916,167,11,23,,
168,20101004,168,4,5,,
169,20101018,169,4,64,,
170,20110103,170,19,84,,
171,20110121,171,4,64,,
172,20100727,172,15,85,,
173,20100524,173,16,86,,
174,20110926,174,8,87,,
175,20100914,175,16,88,,
176,20111205,176,9,18,,
177,20120123,177,4,64,,
178,20110201,178,11,89,,
179,20110106,179,4,90,,
180,20080118,180,4,64,,
181,20110321,181,17,91,,
182,20120907,182,4,19,,
183,20120117,183,20,92,,
184,20111010,184,2,93,,
185,20120220,185,16,94,,
186,20100402,186,9,78,,
187,20090506,187,4,5,,
188,20090506,188,4,5,,
189,20100616,189,6,95,,
190,20120625,190,2,93,,
191,20131021,191,1,1,,
192,20131028,192,1,96,,
193,20131028,193,8,97,,
194,20131111,194,8,98,,
195,20100521,195,4,5,,
196,20140115,196,2,99,,
197,20140116,197,17,100,,
198,20110301,198,11,101,,
199,20110301,199,11,101,,
200,20101029,200,4,5,,
201,20101124,201,4,56,,
202,20110614,202,6,81,,
203,20110201,203,4,102,,
204,20110201,204,4,64,,
205,20110201,205,4,5,,
206,20110201,206,4,5,,
207,20140818,207,8,103,,
208,20140819,208,1,1,,
209,20141013,209,3,3,,
210,20141121,210,3,104,,
211,20130201,211,2,93,,
212,20130401,212,6,105,,
213,20130401,213,17,106,,
214,20150115,214,1,4,,
215,20110908,215,4,56,,
216,20130301,216,8,107,,
217,20150408,217,1,4,,
218,20110913,218,4,5,,
219,20110919,219,4,5,,
220,20110919,220,4,108,,
221,20111019,221,4,5,,
222,20110914,222,4,5,,
223,20111018,223,4,5,,
224,20150601,224,1,1,,
225,20150608,225,9,109,,
226,20130729,226,6,65,,
227,20120530,227,9,78,,
228,20120705,228,4,64,,
229,20160404,229,16,110,,
230,20120507,230,4,5,,
231,20120507,231,4,5,,
232,20120507,232,4,5,,
233,20120507,233,4,5,,
234,20140505,234,8,111,,
235,20130506,235,6,47,,
236,20120813,236,9,78,,
237,20150518,237,16,112,,
238,20130121,238,4,43,,
239,20130121,239,4,5,,
240,20160815,240,1,1,,
241,20130521,241,6,47,,
242,20130829,242,6,81,,
243,20150217,243,7,113,,
244,20161003,244,1,1,,
245,20161003,245,1,1,,
246,20131021,246,9,114,,
247,20130121,247,4,54,,
248,20130121,248,4,5,,
249,20130122,249,4,5,,
250,20161025,250,1,1,,
251,20130204,251,4,5,,
252,20161115,252,1,4,,
253,20130218,253,4,5,,
254,20130218,254,4,5,,
255,20130221,255,4,56,,
256,20161201,256,1,4,,
257,20130711,257,11,23,,
258,20130429,258,4,5,,
259,20130429,259,4,5,,
260,20130506,260,4,5,,
261,20130507,261,4,5,,
262,20130902,262,4,5,,
263,20130902,263,4,43,,
264,20130613,264,9,78,,
265,20130723,265,4,5,,
266,20130916,266,4,5,,
267,20140324,267,13,115,,
268,20131021,268,4,64,,
269,20131021,269,4,102,,
270,20150608,270,2,25,,
271,20130626,271,2,116,,
272,20140115,272,4,5,,
273,20160418,273,2,117,,
274,20160801,274,4,64,,
275,20141222,275,9,118,,
276,20160119,276,3,119,,
277,20180115,277,1,4,,
278,20180305,278,1,4,,
279,20180626,279,13,120,,
280,20180705,280,1,1,,
281,20180723,281,18,121,,
282,20180806,282,1,1,,
283,20170703,283,19,122,,
284,20150928,284,6,123,,
285,20161024,285,2,25,,
286,20181105,286,15,124,,
287,20181119,287,1,1,,
288,20160119,288,1,29,,
289,20180619,289,1,29,,
290,20160502,290,9,18,,
291,20190520,291,1,4,,
292,20190627,292,1,1,,
293,20190701,293,4,43,,
294,20190913,294,1,1,,
295,20180925,295,4,19,,
296,20191028,296,3,125,,
297,20191104,297,12,126,,
298,20191125,298,3,127,,
299,20191203,299,4,54,,
300,20191211,300,1,6,,
301,20160404,301,4,5,,
302,20160404,302,4,5,,
303,20200103,303,1,8,,
304,20200109,304,1,1,,
305,20200113,305,3,128,,
306,20200207,306,1,4,,
307,20190228,307,4,64,,
308,20200312,308,1,1,,
309,20200527,309,1,6,,
310,20200527,310,3,9,,
311,20200623,311,1,1,,
312,20170829,312,6,47,,
313,20200921,313,1,4,,
314,20170130,314,4,5,,
315,20191030,315,1,1,,
316,20170525,316,6,47,,
317,20210202,317,1,6,,
318,20210216,318,1,1,,
319,20210217,319,1,4,,
320,20180220,320,2,25,,
321,20210405,321,1,1,,
322,20191023,322,7,14,,
323,20190415,323,16,129,,
324,20210713,324,16,34,,
325,20210927,325,17,130,,
326,20180905,326,2,131,,
327,20181011,327,6,81,,
328,20180420,328,7,132,,
329,20211108,329,4,133,,
330,20211202,330,1,6,,
331,20180921,331,4,5,,
332,20180411,332,4,108,,
333,20181016,333,11,23,,
334,20180226,334,4,5,,
335,20211227,335,20,134,,
336,20181224,336,2,25,,
337,20220103,337,1,6,,
338,20190107,338,11,23,,
339,20190108,339,6,135,,
340,20220111,340,1,1,,
341,20220111,341,1,1,,
342,20220111,342,1,1,,
343,20220111,343,1,1,,
344,20220113,344,1,1,,
345,20220124,345,1,8,,
346,20220124,346,1,1,,
347,20180828,347,4,5,,
348,20210224,348,7,14,,
349,20220301,349,1,1,,
350,20180925,350,4,5,,
351,20190404,351,6,81,,
352,20190411,352,2,131,,
353,20220414,353,1,1,,
354,20220516,354,1,1,,
355,20190627,355,4,5,,
356,20190627,356,9,20,,
357,20190128,357,4,5,,
358,20190402,358,4,5,,
359,20191010,359,4,64,,
360,20191023,360,2,25,,
361,20190612,361,4,64,,
362,20230123,362,17,136,,
363,20190523,363,1,1,,
