date_fk,matricule,duration_days,employee_fk
20220115,1129.0,45.0,
20220115,1250.0,25.0,
20220115,1286.0,27.0,
20220115,1448.0,18.0,
20220115,1615.0,18.0,
20220115,1671.0,9.0,
20220115,1690.0,9.0,
20220115,1742.0,45.0,
20220115,1770.0,45.0,
20220115,1780.0,9.0,
20220115,1868.0,39.5,
20220115,2139.0,78.63,
20220115,2161.0,220.09,
20220115,2302.0,9.0,
20220115,2367.0,18.0,
20220115,2451.0,70.0,
20220115,2481.0,177.47,
20220115,2483.0,9.0,
20220115,2602.0,27.0,
20220115,2700.0,9.0,
20220115,2704.0,27.0,
20220115,2709.0,27.0,
20220115,2711.0,27.0,
20220115,2714.0,9.0,
20230115,300.0,256.57,
20230115,759.0,67.14,
20230115,1675.0,197.33,
20230115,1679.0,220.47,
20230115,1823.0,14.33,
20230115,1882.0,187.32,
20230115,2174.0,245.08,
20230115,2799.0,88.79,
20240115,307.0,191.29,
20240115,902.0,45.0,
20240115,1116.0,262.64,
20240115,1286.0,241.19,
20240115,1549.0,8.71,
20240115,1710.0,34.86,
20240115,1939.0,267.23,
20220515,300.0,70.13,
20220515,804.0,17.45,
20220515,902.0,9.0,
20220515,1046.0,18.0,
20220515,1089.0,9.0,
20220515,1090.0,247.77,
20220515,1116.0,9.0,
20220515,1135.0,134.31,
20220515,1319.0,126.0,
20220515,1385.0,18.0,
20220515,1452.0,235.0,
20220515,1488.0,80.0,
20220515,1552.0,27.0,
20220515,1553.0,89.0,
20220515,1575.0,27.0,
20220515,1710.0,181.41,
20220515,1748.0,9.0,
20220515,1868.0,9.0,
20220515,2174.0,9.0,
20220515,2302.0,36.0,
20220515,2368.0,184.0,
20220515,2470.0,8.5,
20220515,2703.0,18.0,
20230515,453.0,98.9,
20230515,1004.0,6.14,
20230515,1250.0,87.33,
20230515,1354.0,164.56,
20230515,1575.0,265.31,
20230515,1679.0,230.13,
20230515,1868.0,20.4,
20230515,2302.0,43.0,
20230515,2390.0,87.24,
20230515,2521.0,70.0,
20240515,307.0,64.57,
20240515,902.0,15.82,
20240515,1116.0,8.6,
20240515,1250.0,43.0,
20240515,1311.0,95.86,
20240515,1385.0,210.14,
20240515,1672.0,178.33,
20240515,2521.0,35.2,
20240515,2706.0,34.86,
20240515,2732.0,183.0,
20240515,2896.0,52.0,
20250515,1089.0,16.0,
20250515,1276.0,96.86,
20250515,1286.0,258.17,
20250515,1553.0,267.06,
20250515,1575.0,187.52,
20250515,2244.0,42.33,
20250515,2601.0,264.71,
20250515,2773.0,166.48,
20250515,20034.0,100.22,
20220315,817.0,18.0,
20220315,1004.0,61.0,
20220315,1090.0,262.42,
20220315,1116.0,9.0,
20220315,1355.0,18.0,
20220315,1552.0,9.0,
20220315,1619.0,18.0,
20220315,1671.0,9.0,
20220315,1679.0,44.0,
20220315,1710.0,234.5,
20220315,1731.0,8.5,
20220315,1737.0,8.5,
20220315,1745.0,27.0,
20220315,1868.0,78.87,
20220315,2139.0,170.47,
20220315,2174.0,18.0,
20220315,2403.0,253.69,
20220315,2692.0,18.0,
20230315,86.0,113.0,
20230315,1780.0,185.86,
20230315,1823.0,192.0,
20230315,2293.0,238.11,
20240315,300.0,257.41,
20240315,1286.0,122.27,
20240315,20010.0,90.07,
20250315,300.0,175.0,
20250315,677.0,35.0,
20250315,1351.0,196.0,
20250315,1553.0,200.37,
20250315,1575.0,236.93,
20250315,1796.0,56.0,
20250315,20034.0,215.34,
20221115,11.0,18.0,
20221115,86.0,27.0,
20221115,677.0,140.0,
20221115,902.0,9.0,
20221115,1046.0,4.5,
20221115,1090.0,260.85,
20221115,1253.0,8.5,
20221115,1293.0,27.0,
20221115,1317.0,8.5,
20221115,1385.0,9.0,
20221115,1679.0,34.0,
20221115,1681.0,61.0,
20221115,1731.0,25.07,
20221115,1754.0,25.5,
20221115,2174.0,9.0,
20221115,2531.0,45.0,
20221115,2537.0,27.0,
20221115,20021.0,113.4,
20231115,300.0,157.27,
20231115,717.0,27.0,
20231115,1452.0,235.37,
20231115,1625.0,131.0,
20231115,1672.0,79.2,
20231115,1731.0,148.14,
20231115,2483.0,52.4,
20241115,307.0,77.73,
20241115,1046.0,88.0,
20241115,1250.0,61.13,
20241115,1354.0,165.93,
20241115,1575.0,260.88,
20241115,1710.0,200.07,
20241115,2174.0,113.53,
20241115,2829.0,9.0,
20221015,1046.0,9.0,
20221015,1090.0,265.74,
20221015,1116.0,9.0,
20221015,1355.0,27.0,
20221015,1553.0,9.0,
20221015,1620.0,8.5,
20221015,1671.0,18.0,
20221015,1675.0,27.0,
20221015,1737.0,34.0,
20221015,1745.0,9.0,
20221015,2302.0,18.0,
20221015,2325.0,9.0,
20221015,2481.0,18.0,
20221015,2555.0,87.0,
20221015,2687.0,9.0,
20221015,2700.0,9.0,
20231015,927.0,45.0,
20231015,1452.0,267.52,
20231015,1679.0,266.0,
20231015,1731.0,104.86,
20231015,2483.0,78.6,
20231015,2646.0,45.0,
20241015,902.0,270.64,
20241015,954.0,43.0,
20241015,1250.0,270.94,
20241015,1354.0,96.07,
20241015,1549.0,149.22,
20241015,1575.0,270.53,
20241015,1710.0,270.77,
20241015,2174.0,270.73,
20241015,2634.0,27.0,
20241015,2829.0,36.0,
20220915,804.0,175.89,
20220915,1090.0,249.26,
20220915,1317.0,17.0,
20220915,1319.0,9.0,
20220915,1354.0,18.0,
20220915,1385.0,9.0,
20220915,1452.0,63.0,
20220915,1458.0,17.0,
20220915,1479.0,9.0,
20220915,1552.0,9.0,
20220915,1553.0,9.0,
20220915,1619.0,18.0,
20220915,1671.0,18.0,
20220915,1675.0,61.0,
20220915,1679.0,9.0,
20220915,1737.0,17.0,
20220915,1745.0,27.0,
20220915,1748.0,9.0,
20220915,1823.0,34.0,
20220915,2094.0,17.0,
20220915,2174.0,18.0,
20220915,2250.0,18.0,
20220915,2367.0,9.0,
20220915,2390.0,26.0,
20220915,2700.0,9.0,
20230915,1129.0,52.59,
20230915,1250.0,88.0,
20230915,1355.0,61.0,
20230915,1452.0,247.27,
20230915,1675.0,156.52,
20230915,1679.0,247.63,
20230915,1710.0,88.0,
20230915,2390.0,165.93,
20230915,2780.0,18.0,
20240915,902.0,235.36,
20240915,1116.0,131.0,
20240915,1250.0,60.93,
20240915,1286.0,209.38,
20240915,1549.0,252.32,
20240915,1575.0,43.67,
20240915,1671.0,25.8,
20240915,1710.0,52.15,
20240915,1939.0,114.6,
20240915,2174.0,8.73,
20240915,2601.0,45.0,
