matricule,department,function,age,gender,employee_sk,employment_status
1690,INDUS,,,Féminin,135,Active
1706,INDUS,,,Féminin,136,Active
1708,INDUS,,,Masculin,137,Active
1710,INDUS,,,Féminin,138,Active
1712,INDUS,,,Féminin,139,Active
1715,GA,,,Féminin,140,Active
1737,INDUS,,,Masculin,141,Active
1742,INDUS,,,Féminin,142,Active
1743,INDUS,,,Masculin,143,Active
1745,INDUS,,,Masculin,144,Active
1753,INDUS,,,Masculin,145,Active
1765,INDUS,,,Féminin,146,Active
1770,INDUS,,,Masculin,147,Active
1780,INDUS,,,Féminin,148,Active
1793,INDUS,,,Féminin,149,Active
1796,INDUS,,,Féminin,150,Active
1810,INDUS,,,Masculin,151,Active
1814,INDUS,,,Féminin,152,Active
1816,INDUS,,,Féminin,153,Active
1823,INDUS,,,Féminin,154,Active
1832,INDUS,,,Masculin,155,Active
1833,INDUS,,,Masculin,156,Active
1836,INDUS,,,Masculin,157,Active
1853,FOE,,,Masculin,158,Active
1859,GA,,,Masculin,159,Active
1868,INDUS,,,Féminin,160,Active
1869,INDUS,,,Féminin,161,Active
1871,GA,,,Masculin,162,Active
1882,RD,,,Féminin,163,Active
1895,GA,,,Masculin,164,Active
1900,GA,,,Masculin,165,Active
1937,GA,,,Masculin,166,Active
1939,FOE,,,Masculin,167,Active
1952,INDUS,,,Masculin,168,Active
1958,FOE,,,Féminin,169,Active
1978,FOE,,,Féminin,170,Active
1981,GA,,,Féminin,171,Active
1987,INDUS,,,Masculin,172,Active
1989,INDUS,,,Masculin,173,Active
2096,INDUS,,,Masculin,174,Active
2100,INDUS,,,Masculin,175,Active
2125,INDUS,,,Masculin,176,Active
2141,FOE,,,Masculin,177,Active
2154,INDUS,,,Masculin,178,Active
2155,FOE,,,Féminin,179,Active
2174,INDUS,,,Féminin,180,Active
2213,INDUS,,,Masculin,181,Active
2225,RD,,,Féminin,182,Active
2244,INDUS,,,Féminin,183,Active
2250,INDUS,,,Masculin,184,Active
2264,INDUS,,,Féminin,185,Active
2268,FOE,,,Masculin,186,Active
2290,INDUS,,,Féminin,187,Active
2302,RD,,,Féminin,188,Active
2315,INDUS,,,Masculin,189,Active
2325,INDUS,,,Féminin,190,Active
2328,GA,,,Féminin,191,Active
2341,INDUS,,,Féminin,192,Active
2343,INDUS,,,Masculin,193,Active
2351,INDUS,,,Féminin,194,Active
2353,SHO,,,Masculin,195,Active
2356,FOE,,,Masculin,196,Active
2368,INDUS,,,Féminin,197,Active
2375,INDUS,,,Masculin,198,Active
2377,INDUS,,,Féminin,199,Active
2380,GA,,,Masculin,200,Active
2385,FOE,,,Masculin,201,Active
2390,INDUS,,,Féminin,202,Active
2394,INDUS,,,Masculin,203,Active
2402,FOE,,,Féminin,204,Active
2419,RD,,,Féminin,205,Active
2428,INDUS,,,Masculin,206,Active
2447,INDUS,,,Masculin,207,Active
2451,INDUS,,,Féminin,208,Active
2452,GA,,,Féminin,209,Active
2455,INDUS,,,Féminin,210,Active
2467,FOE,,,Masculin,211,Active
2470,INDUS,,,Masculin,212,Active
2474,INDUS,,,Masculin,213,Active
2481,INDUS,,,Féminin,214,Active
2483,FOE,,,Féminin,215,Active
2487,INDUS,,,Masculin,216,Active
2495,INDUS,,,Féminin,217,Active
2517,INDUS,,,Masculin,218,Active
2521,INDUS,,,Féminin,219,Active
2522,SHO,,,Masculin,220,Active
2525,MEDIM,,,Féminin,221,Active
2528,SHO,,,Masculin,222,Active
2530,INDUS,,,Masculin,223,Active
2536,SHO,,,Féminin,224,Active
2545,FOE,,,Masculin,225,Active
2551,INDUS,,,Masculin,226,Active
2555,FOE,,,Masculin,227,Active
2564,FOE,,,Masculin,228,Active
2565,SHO,,,Féminin,229,Active
2596,FOE,,,Féminin,230,Active
2601,INDUS,,,Féminin,231,Active
2608,FOE,,,Masculin,232,Active
2614,FOE,,,Masculin,233,Active
2619,FOE,,,Féminin,234,Active
2634,FOE,,,Masculin,235,Active
2641,RD,,,Féminin,236,Active
2646,GA,,,Féminin,237,Active
2662,INDUS,,,Féminin,238,Active
2665,INDUS,,,Masculin,239,Active
2669,FOE,,,Masculin,240,Active
2670,INDUS,,,Masculin,241,Active
2673,FOE,,,Masculin,242,Active
2677,FOE,,,Féminin,243,Active
2679,FOE,,,Masculin,244,Active
2681,FOE,,,Féminin,245,Active
2683,FOE,,,Masculin,246,Active
2687,INDUS,,,Féminin,247,Active
2691,SHO,,,Masculin,248,Active
2694,FOE,,,Féminin,249,Active
2697,INDUS,,,Féminin,250,Active
2706,INDUS,,,Féminin,251,Active
2714,FOE,,,Féminin,252,Active
2715,INDUS,,,Féminin,253,Active
2730,FOE,,,Féminin,254,Active
2731,FOE,,,Féminin,255,Active
2732,FOE,,,Féminin,256,Active
2733,SHO,,,Féminin,257,Active
2738,FOE,,,Féminin,258,Active
2739,GA,,,Masculin,259,Active
2751,FOE,,,Féminin,260,Active
2753,FOE,,,Masculin,261,Active
2754,FOE,,,Masculin,262,Active
2756,FOE,,,Masculin,263,Active
2768,SHO,,,Féminin,264,Active
2771,FOE,,,Masculin,265,Active
2772,INDUS,,,Masculin,266,Active
2773,GA,,,Féminin,267,Active
2780,INDUS,,,Féminin,268,Active
2785,RD,,,Féminin,269,Active
2788,FOE,,,Masculin,270,Active
2795,INDUS,,,Masculin,271,Active
2802,INDUS,,,Féminin,272,Active
2803,RD,,,Féminin,273,Active
2805,MEDIM,,,Masculin,274,Active
2807,INDUS,,,Masculin,275,Active
2808,GA,,,Féminin,276,Active
2810,INDUS,,,Féminin,277,Active
2816,INDUS,,,Masculin,278,Active
2820,INDUS,,,Masculin,279,Active
2826,FOE,,,Féminin,280,Active
2828,INDUS,,,Féminin,281,Active
2829,GA,,,Féminin,282,Active
2831,INDUS,,,Féminin,283,Active
2832,FOE,,,Féminin,284,Active
2833,GA,,,Féminin,285,Active
2836,FOE,,,Masculin,286,Active
2837,INDUS,,,Féminin,287,Active
2839,RD,,,Féminin,288,Active
2840,FOE,,,Masculin,289,Active
2841,INDUS,,,Féminin,290,Active
2842,FOE,,,Féminin,291,Active
2843,GA,,,Féminin,292,Active
2845,FOE,,,Masculin,293,Active
2847,MEDIM,,,Féminin,294,Active
2848,GA,,,Féminin,295,Active
2849,RD,,,Féminin,296,Active
2850,FOE,,,Féminin,297,Active
2851,MEDIM,,,Féminin,298,Active
2853,INDUS,,,Masculin,299,Active
2854,INDUS,,,Féminin,300,Active
2857,SHO,,,Masculin,301,Active
2859,FOE,,,Féminin,302,Active
2865,FOE,,,Féminin,303,Active
2866,INDUS,,,Masculin,304,Active
2867,INDUS,,,Masculin,305,Active
2869,FOE,,,Masculin,306,Active
2870,FOE,,,Masculin,307,Active
2872,INDUS,,,Féminin,308,Active
2873,INDUS,,,Féminin,309,Active
2878,INDUS,,,Féminin,310,Active
2886,FOE,,,Féminin,311,Active
2887,SHO,,,Féminin,312,Active
2890,FOE,,,Féminin,313,Active
2894,FOE,,,Féminin,314,Active
2897,FOE,,,Masculin,315,Active
2898,SHO,,,Féminin,316,Active
2899,INDUS,,,Féminin,317,Active
2900,FOE,,,Féminin,318,Active
2901,INDUS,,,Masculin,319,Active
2902,INDUS,,,Masculin,320,Active
2904,INDUS,,,Masculin,321,Active
2905,INDUS,,,Masculin,322,Active
2906,SHO,,,Féminin,323,Active
2912,INDUS,,,Féminin,324,Active
2913,INDUS,,,Masculin,325,Active
2917,FOE,,,Féminin,326,Active
2918,FOE,,,Masculin,327,Active
2924,FOE,,,Féminin,328,Active
2926,FOE,,,Féminin,329,Active
2927,SHO,,,Féminin,330,Active
2928,FOE,,,Féminin,331,Active
2930,INDUS,,,Masculin,332,Active
2931,GA,,,Féminin,333,Active
2932,GA,,,Féminin,334,Active
2934,GA,,,Féminin,335,Active
2935,FOE,,,Masculin,336,Active
2936,INDUS,,,Féminin,337,Active
2939,FOE,,,Masculin,338,Active
2940,FOE,,,Féminin,339,Active
20002,SHO,,,Masculin,340,Active
20010,SHO,,,Masculin,341,Active
20013,FOE,,,Féminin,342,Active
20025,FOE,,,Féminin,343,Active
20029,FOE,,,Féminin,344,Active
20034,FOE,,,Féminin,345,Active
20036,FOE,,,Masculin,346,Active
20039,FOE,,,Masculin,347,Active
20042,FOE,,,Féminin,348,Active
20043,FOE,,,Féminin,349,Active
20044,FOE,,,Féminin,350,Active
20045,FOE,,,Féminin,351,Active
20046,FOE,,,Féminin,352,Active
20047,FOE,,,Féminin,353,Active
20049,FOE,,,Féminin,354,Active
20050,FOE,,,Masculin,355,Active
20051,FOE,,,Masculin,356,Active
20052,FOE,,,Masculin,357,Active
20053,FOE,,,Féminin,358,Active
20054,FOE,,,Féminin,359,Active
