,,,,,,,,,,,
5/5/2026,,MAT,Mr/ Mde,rec/op,SPC/ IND,SITE OPALIA,AREA,SERVICE,DIRECTION,,
,,03048,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02990,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02991,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,03050,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02992,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,01121,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,03051,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,03052,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,03053,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02993,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02994,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02996,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02995,Female,OPALIA,SPC,LAC,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,,
,,03055,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,03006,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,20056,Female,RECORDATI,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,20055,Female,RECORDATI,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,03022,Female,OPALIA,SPC,LAC,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,,
,,03023,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,03020,Female,OPALIA,SPC,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02931,Female,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Direction  Administrative et Financière,Direction Administrative et Financière,,
,,03041,Male,OPALIA,SPC,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,02971,Male,OPALIA,INDUSTRIAL,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Contrôle de Gestion,Direction Contrôle de Gestion,,
,,02959,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Assurance Qualité,Direction Management Qualité,,
,,02944,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,03004,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,02827,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,02297,Male,OPALIA,spc,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Systèmes D'Information,Direction des Systèmes d'Information,,
,,02976,Male,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Systèmes D'Information,Direction des Systèmes d'Information,,
,,02833,Female,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Direction  Administrative et Financière,Direction Administrative et Financière,,
,,03028,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,03029,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,03030,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,03037,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,02675,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,02422,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,02496,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,02042,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,02459,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02939,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02940,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,20053,Female,RECORDATI,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02936,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,02935,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02926,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,20051,Male,recordati,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02917,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02918,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02906,Female,OPALIA,SPC,LAC,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,,
,,02904,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,02902,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,02900,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,20049,Female,RECORDATI,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,20050,Male,RECORDATI,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02890,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02942,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,02866,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,02867,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,02865,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02854,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Assurance Qualité,Direction Management Qualité,,
,,02853,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02495,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02850,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02851,Female,OPALIA,SPC,LAC,RESEARCH AND DEVELOPMENT (R&D),MEDI-MARKETING,Direction MEDI-MARKETING,,
,,02849,Female,OPALIA,SPC,LAC,RESEARCH AND DEVELOPMENT (R&D),Affaires Réglementaires,Direction des Affaires Réglementaires,,
,,02847,Female,OPALIA,SPC,LAC,RESEARCH AND DEVELOPMENT (R&D),MEDI-MARKETING,Direction MEDI-MARKETING,,
,,02845,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02341,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,02842,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02841,Female,OPALIA,SPC,KALAA,RESEARCH AND DEVELOPMENT (R&D),Developpement,Direction de Développement,,
,,02840,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02836,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02832,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02831,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,02810,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,02829,Female,OPALIA,SPC,LAC,RESEARCH AND DEVELOPMENT (R&D),Developpement,Direction de Développement,,
,,20045,Female,recordati,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02828,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,02826,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02816,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,20044,Female,recordati,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02808,Female,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Direction  Administrative et Financière,Direction Administrative et Financière,,
,,02807,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,20043,Female,recordati,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02805,Male,OPALIA,SPC,LAC,RESEARCH AND DEVELOPMENT (R&D),MEDI-MARKETING,Direction MEDI-MARKETING,,
,,20042,Female,recordati,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02803,Female,OPALIA,SPC,KALAA,RESEARCH AND DEVELOPMENT (R&D),Business Development,Business Development,,
,,02802,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02795,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02780,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,02773,Female,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Ressources Humaines,Direction des Ressources Humaines,,
,,02772,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Pharmacien Responsable Technique,Pharmacien Responsable Technique,,
,,02768,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02751,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02754,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02756,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02753,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02697,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Assurance Qualité,Direction Management Qualité,,
,,02687,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,02738,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,20039,Male,recordati,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02732,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02730,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02715,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Assurance Qualité,Direction Management Qualité,,
,,02714,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02706,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,02691,Male,OPALIA,SPC,LAC,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,,
,,02694,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02683,Male,OPALIA,SPC,lac,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,20036,Male,recordati,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02679,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02673,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02670,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Qualification, Validation et Metrologie",Direction Management Qualité,,
,,02669,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02665,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,02662,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,02646,Female,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Direction  Administrative et Financière,Direction Administrative et Financière,,
,,02614,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,01077,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02601,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01595,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,02596,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02565,Female,OPALIA,SPC,LAC,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,,
,,02564,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02455,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02555,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02551,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,02481,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02536,Female,OPALIA,SPC,LAC,GENERAL ADMINISTRATION MANAGEMENT (G&A),Direction Générale,Direction Générale,,
,,02927,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02530,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02528,Male,OPALIA,SPC,LAC,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,,
,,02525,Female,OPALIA,SPC,LAC,RESEARCH AND DEVELOPMENT (R&D),MEDI-MARKETING,Direction MEDI-MARKETING,,
,,20034,Female,recordati,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02522,Male,OPALIA,SPC,LAC,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,,
,,02419,Female,OPALIA,SPC,KALAA,RESEARCH AND DEVELOPMENT (R&D),Developpement,Direction de Développement,,
,,02521,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,02517,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02487,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02470,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02474,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02467,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02452,Female,OPALIA,SPC,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,02447,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,01706,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02428,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02390,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02343,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02264,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,02394,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,02385,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02380,Male,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Contrôle de Gestion,Direction Contrôle de Gestion,,
,,02377,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,02375,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,02368,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02351,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02315,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,02325,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02356,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02353,Male,OPALIA,SPC,LAC,MARKETING AND SALES,International Sales,Direction International Sales,,
,,20025,Female,recordati,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02328,Female,OPALIA,SPC,LAC,GENERAL ADMINISTRATION MANAGEMENT (G&A),Affaires Juridiques,Direction Générale,,
,,02302,Female,OPALIA,SPC,KALAA,RESEARCH AND DEVELOPMENT (R&D),Developpement,Direction de Développement,,
,,02244,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02250,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,02225,Female,OPALIA,SPC,LAC,RESEARCH AND DEVELOPMENT (R&D),Affaires Réglementaires,Direction des Affaires Réglementaires,,
,,02213,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,02174,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02155,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02154,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,02141,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02125,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,02100,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,02096,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,01710,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01712,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01556,Female,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Direction  Administrative et Financière,Direction Administrative et Financière,,
,,02402,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,02268,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,01765,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,01989,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,01987,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,01981,Female,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Direction  Administrative et Financière,Direction Administrative et Financière,,
,,01882,Female,OPALIA,SPC,KALAA,RESEARCH AND DEVELOPMENT (R&D),Developpement,Direction de Développement,,
,,01952,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,20010,Male,recordati,SPC,LAC,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,,
,,20002,Male,recordati,SPC,LAC,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,,
,,01937,Male,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Systèmes D'Information,Direction des Systèmes d'Information,,
,,01900,Male,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Systèmes D'Information,Direction des Systèmes d'Information,,
,,01895,Male,OPALIA,SPC,LAC,GENERAL ADMINISTRATION MANAGEMENT (G&A),Direction Générale,Direction Générale,,
,,01871,Male,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Ressources Humaines,Direction des Ressources Humaines,,
,,01868,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01859,Male,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Systèmes D'Information,Direction des Systèmes d'Information,,
,,01127,Female,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Systèmes D'Information,Direction des Systèmes d'Information,,
,,01836,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,01833,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01832,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01823,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01814,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01816,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01810,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,01796,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,01793,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,01780,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,01770,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,01753,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,01745,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01742,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01743,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,01737,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01715,Female,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Ressources Humaines,Direction des Ressources Humaines,,
,,01708,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,01681,Female,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Systèmes D'Information,Direction des Systèmes d'Information,,
,,01690,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01672,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01671,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01575,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01660,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01620,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01619,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01634,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
